Volumes,elapsed,HP,sampling,memory,init_feas,pvpq_feas,correct_feas
3.5790961394250376e-6,41.4947835,29.5305746,0.3174252,528286896,25,0,0
1.3747285915304197e-6,41.4947835,29.5305746,0.3174252,528286896,25,0,0
1.4077352315896088e-7,41.4947835,29.5305746,0.3174252,528286896,25,0,0
1.3193379314221136e-7,41.4947835,29.5305746,0.3174252,528286896,25,0,0
9.496911596378801e-8,41.4947835,29.5305746,0.3174252,528286896,25,0,0
9.416709386546033e-8,41.4947835,29.5305746,0.3174252,528286896,25,0,0
9.463598848796264e-8,41.4947835,29.5305746,0.3174252,528286896,25,0,0
7.666616822869166e-8,41.4947835,29.5305746,0.3174252,528286896,25,0,0
5.8257981351248246e-8,41.4947835,29.5305746,0.3174252,528286896,25,0,0
5.8034539002606584e-8,41.4947835,29.5305746,0.3174252,528286896,25,0,0
