Volumes,elapsed,HP,sampling,memory
0.0339074218777215,524.0443112,484.6493737,28.3990581,2060983352
0.028919066351469066,524.0443112,484.6493737,28.3990581,2060983352
0.012745635407600297,524.0443112,484.6493737,28.3990581,2060983352
0.0101423163407313,524.0443112,484.6493737,28.3990581,2060983352
0.009993046939111136,524.0443112,484.6493737,28.3990581,2060983352
0.009801792696560048,524.0443112,484.6493737,28.3990581,2060983352
0.009759518909817366,524.0443112,484.6493737,28.3990581,2060983352
0.009787829025821088,524.0443112,484.6493737,28.3990581,2060983352
0.009898671142883893,524.0443112,484.6493737,28.3990581,2060983352
0.00976208065929443,524.0443112,484.6493737,28.3990581,2060983352
0.009866657055558122,524.0443112,484.6493737,28.3990581,2060983352
0.009719370793481027,524.0443112,484.6493737,28.3990581,2060983352
0.00980003616685112,524.0443112,484.6493737,28.3990581,2060983352
0.005848111395749282,524.0443112,484.6493737,28.3990581,2060983352
0.00580403306059613,524.0443112,484.6493737,28.3990581,2060983352
0.005751391945512857,524.0443112,484.6493737,28.3990581,2060983352
0.005783913108753412,524.0443112,484.6493737,28.3990581,2060983352
0.005753414639769508,524.0443112,484.6493737,28.3990581,2060983352
0.005775293585510206,524.0443112,484.6493737,28.3990581,2060983352
0.005734034502737604,524.0443112,484.6493737,28.3990581,2060983352
0.005546857724021872,524.0443112,484.6493737,28.3990581,2060983352
0.0054920275333268645,524.0443112,484.6493737,28.3990581,2060983352
0.005560188529246519,524.0443112,484.6493737,28.3990581,2060983352
0.003746894790836603,524.0443112,484.6493737,28.3990581,2060983352
0.003649202032713325,524.0443112,484.6493737,28.3990581,2060983352
0.0036022669385024136,524.0443112,484.6493737,28.3990581,2060983352
0.00371367755044997,524.0443112,484.6493737,28.3990581,2060983352
0.003642416238823768,524.0443112,484.6493737,28.3990581,2060983352
0.0036315577320707496,524.0443112,484.6493737,28.3990581,2060983352
0.0011267227442276256,524.0443112,484.6493737,28.3990581,2060983352
0.0011163340532139888,524.0443112,484.6493737,28.3990581,2060983352
0.0011093745155274475,524.0443112,484.6493737,28.3990581,2060983352
0.0011256802016133948,524.0443112,484.6493737,28.3990581,2060983352
0.0011214558075882247,524.0443112,484.6493737,28.3990581,2060983352
0.0011296146742876489,524.0443112,484.6493737,28.3990581,2060983352
0.001055992670619301,524.0443112,484.6493737,28.3990581,2060983352
0.0010640679541675763,524.0443112,484.6493737,28.3990581,2060983352
0.000757057860235746,524.0443112,484.6493737,28.3990581,2060983352
0.0007619194336632071,524.0443112,484.6493737,28.3990581,2060983352
0.0007497480209663355,524.0443112,484.6493737,28.3990581,2060983352
0.0007572307325476855,524.0443112,484.6493737,28.3990581,2060983352
0.0005980779959883544,524.0443112,484.6493737,28.3990581,2060983352
0.0005903945105486732,524.0443112,484.6493737,28.3990581,2060983352
0.0005829897640998333,524.0443112,484.6493737,28.3990581,2060983352
0.00043935552900085955,524.0443112,484.6493737,28.3990581,2060983352
0.0004354096000906834,524.0443112,484.6493737,28.3990581,2060983352
0.00040327965757941506,524.0443112,484.6493737,28.3990581,2060983352
0.00040300665700466895,524.0443112,484.6493737,28.3990581,2060983352
0.0003932735778021812,524.0443112,484.6493737,28.3990581,2060983352
