Volumes,elapsed,HP,sampling,memory
6.141343107298062,224.5199256,214.1194466,3.0202533,1391227264
5.229689367678509,224.5199256,214.1194466,3.0202533,1391227264
1.7650269754252956,224.5199256,214.1194466,3.0202533,1391227264
1.7859767742280976,224.5199256,214.1194466,3.0202533,1391227264
1.7715488076550046,224.5199256,214.1194466,3.0202533,1391227264
1.7750719154593249,224.5199256,214.1194466,3.0202533,1391227264
1.7642410642296418,224.5199256,214.1194466,3.0202533,1391227264
1.7823056353084223,224.5199256,214.1194466,3.0202533,1391227264
1.7766381626972068,224.5199256,214.1194466,3.0202533,1391227264
1.7882665875352928,224.5199256,214.1194466,3.0202533,1391227264
1.7759519585288481,224.5199256,214.1194466,3.0202533,1391227264
1.7965111130558968,224.5199256,214.1194466,3.0202533,1391227264
1.751845709816,224.5199256,214.1194466,3.0202533,1391227264
1.7820792933395746,224.5199256,214.1194466,3.0202533,1391227264
1.7844622281624214,224.5199256,214.1194466,3.0202533,1391227264
1.7750376785247879,224.5199256,214.1194466,3.0202533,1391227264
1.791411179015363,224.5199256,214.1194466,3.0202533,1391227264
1.8019979331538636,224.5199256,214.1194466,3.0202533,1391227264
1.7745619804178685,224.5199256,214.1194466,3.0202533,1391227264
1.7774818621384678,224.5199256,214.1194466,3.0202533,1391227264
1.7823616117683792,224.5199256,214.1194466,3.0202533,1391227264
1.7825740790126376,224.5199256,214.1194466,3.0202533,1391227264
1.8017085253241147,224.5199256,214.1194466,3.0202533,1391227264
1.7679952712229345,224.5199256,214.1194466,3.0202533,1391227264
1.7623212996283952,224.5199256,214.1194466,3.0202533,1391227264
1.7843577575745453,224.5199256,214.1194466,3.0202533,1391227264
1.7739331547964459,224.5199256,214.1194466,3.0202533,1391227264
1.750571193298906,224.5199256,214.1194466,3.0202533,1391227264
1.784233214408622,224.5199256,214.1194466,3.0202533,1391227264
1.7676900438323413,224.5199256,214.1194466,3.0202533,1391227264
1.7823590444843203,224.5199256,214.1194466,3.0202533,1391227264
1.773946678791624,224.5199256,214.1194466,3.0202533,1391227264
1.7633811959302035,224.5199256,214.1194466,3.0202533,1391227264
1.7382582900405585,224.5199256,214.1194466,3.0202533,1391227264
1.7662414554139079,224.5199256,214.1194466,3.0202533,1391227264
