Volumes,elapsed,HP,sampling,memory,init_feas,pvpq_feas,correct_feas
0.010142221127578661,159.6568103,137.9666891,12.3761931,1156680672,0,23,77
0.0034089593803657086,159.6568103,137.9666891,12.3761931,1156680672,0,23,77
0.003307674732336731,159.6568103,137.9666891,12.3761931,1156680672,0,23,77
0.0033099185839381164,159.6568103,137.9666891,12.3761931,1156680672,0,23,77
0.003304339270208042,159.6568103,137.9666891,12.3761931,1156680672,0,23,77
0.0033203727793872364,159.6568103,137.9666891,12.3761931,1156680672,0,23,77
0.0017407473017504497,159.6568103,137.9666891,12.3761931,1156680672,0,23,77
0.0017512431638037475,159.6568103,137.9666891,12.3761931,1156680672,0,23,77
0.0016841549116521266,159.6568103,137.9666891,12.3761931,1156680672,0,23,77
0.0016940620395506862,159.6568103,137.9666891,12.3761931,1156680672,0,23,77
0.0016686506199085126,159.6568103,137.9666891,12.3761931,1156680672,0,23,77
0.0013410647054465014,159.6568103,137.9666891,12.3761931,1156680672,0,23,77
0.0013487811292877522,159.6568103,137.9666891,12.3761931,1156680672,0,23,77
0.0013609199356179106,159.6568103,137.9666891,12.3761931,1156680672,0,23,77
0.0012884205826025465,159.6568103,137.9666891,12.3761931,1156680672,0,23,77
0.0012776606381124374,159.6568103,137.9666891,12.3761931,1156680672,0,23,77
0.0006560685011546449,159.6568103,137.9666891,12.3761931,1156680672,0,23,77
0.0006484459332059549,159.6568103,137.9666891,12.3761931,1156680672,0,23,77
0.0006440501906223242,159.6568103,137.9666891,12.3761931,1156680672,0,23,77
0.0006450219540812133,159.6568103,137.9666891,12.3761931,1156680672,0,23,77
