;training data;method test data;lhc test data;imp test data
0;method;0.554089709762533;0.8868437565362894;0.9254231607172784
1;lhc;0.49487554904831627;0.9768046824192499;0.8587327230299767
2;importance;0.5121163166397416;0.9779867493054072;0.9768053956242803
