New Unit no.;1;2;3;6;8;;;;;;;
Default Unit no.;1;2;3;6;8;;;;;;;
Type;TGTypeI;TGTypeI;TGTypeI;TGTypeI;TGTypeI;;;15;16;17;19;18
R;0.02;0.02;0.02;0.02;0.02;;;;;;;
Ts;0.1;0.1;0.1;0.1;0.1;;;;;;;
Tc;0.45;0.45;0.45;0.45;0.45;;;;;;;
T3;0.001;0.001;0.001;0.001;0.001;;;;;;;
T4;12;6;6;6;6;;;;;;;
T5;10;10;10;10;10;;;;;;;
min;-5;-5;-5;-5;-5;;;;;;;
max;5;5;5;5;5;;;;;;;
