Volumes,elapsed,HP,sampling,memory,init_feas,pvpq_feas,correct_feas
1.528061836062828e-8,565.5923715,335.3256086,11.3083723,5640847232,0,0,50
1.353202571006833e-8,565.5923715,335.3256086,11.3083723,5640847232,0,0,50
6.016198020098184e-9,565.5923715,335.3256086,11.3083723,5640847232,0,0,50
4.003607637657561e-9,565.5923715,335.3256086,11.3083723,5640847232,0,0,50
3.273549933540747e-9,565.5923715,335.3256086,11.3083723,5640847232,0,0,50
3.257300310687164e-9,565.5923715,335.3256086,11.3083723,5640847232,0,0,50
3.164689945717985e-9,565.5923715,335.3256086,11.3083723,5640847232,0,0,50
3.94490178765528e-11,565.5923715,335.3256086,11.3083723,5640847232,0,0,50
3.965807317520327e-11,565.5923715,335.3256086,11.3083723,5640847232,0,0,50
3.969349818404497e-11,565.5923715,335.3256086,11.3083723,5640847232,0,0,50
3.954182634286753e-11,565.5923715,335.3256086,11.3083723,5640847232,0,0,50
3.95782989537546e-11,565.5923715,335.3256086,11.3083723,5640847232,0,0,50
1.8408655318859553e-11,565.5923715,335.3256086,11.3083723,5640847232,0,0,50
1.8418133049625952e-11,565.5923715,335.3256086,11.3083723,5640847232,0,0,50
1.784034574178763e-11,565.5923715,335.3256086,11.3083723,5640847232,0,0,50
1.7756286448897865e-11,565.5923715,335.3256086,11.3083723,5640847232,0,0,50
2.737622662622032e-13,565.5923715,335.3256086,11.3083723,5640847232,0,0,50
2.708492682756298e-13,565.5923715,335.3256086,11.3083723,5640847232,0,0,50
2.710681281485611e-13,565.5923715,335.3256086,11.3083723,5640847232,0,0,50
8.20868456578423e-14,565.5923715,335.3256086,11.3083723,5640847232,0,0,50
8.158656325000987e-14,565.5923715,335.3256086,11.3083723,5640847232,0,0,50
8.135715517829535e-14,565.5923715,335.3256086,11.3083723,5640847232,0,0,50
8.425800977397953e-14,565.5923715,335.3256086,11.3083723,5640847232,0,0,50
8.221242599323448e-14,565.5923715,335.3256086,11.3083723,5640847232,0,0,50
8.152127301920535e-14,565.5923715,335.3256086,11.3083723,5640847232,0,0,50
